Attainment,Regions,Employ,Total in labor force,Unemploy,Year
DISABILITY STATUS,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",0.0,0.0,0.0,2016
DISABILITY STATUS,Clark County,0.0,0.0,0.0,2016
DISABILITY STATUS,King County,0.0,0.0,0.0,2016
DISABILITY STATUS,Kitsap County,0.0,0.0,0.0,2016
DISABILITY STATUS,Label,,,,2016
DISABILITY STATUS,Pierce County,0.0,0.0,0.0,2016
DISABILITY STATUS,Snohomish County,0.0,0.0,0.0,2016
DISABILITY STATUS,Spokane County,0.0,0.0,0.0,2016
DISABILITY STATUS,Thurston County,0.0,0.0,0.0,2016
DISABILITY STATUS,Yakima County,0.0,0.0,0.0,2016
EDUCATIONAL ATTAINMENT,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",0.0,0.0,0.0,2016
EDUCATIONAL ATTAINMENT,Clark County,0.0,0.0,0.0,2016
EDUCATIONAL ATTAINMENT,King County,0.0,0.0,0.0,2016
EDUCATIONAL ATTAINMENT,Kitsap County,0.0,0.0,0.0,2016
EDUCATIONAL ATTAINMENT,Label,,,,2016
EDUCATIONAL ATTAINMENT,Pierce County,0.0,0.0,0.0,2016
EDUCATIONAL ATTAINMENT,Snohomish County,0.0,0.0,0.0,2016
EDUCATIONAL ATTAINMENT,Spokane County,0.0,0.0,0.0,2016
EDUCATIONAL ATTAINMENT,Thurston County,0.0,0.0,0.0,2016
EDUCATIONAL ATTAINMENT,Yakima County,0.0,0.0,0.0,2016
    At or above the poverty level,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",129038.0,167113.0,6846.0,2016
    At or above the poverty level,Chelan & Douglas Counties,46685.0,58872.0,1707.0,2016
    At or above the poverty level,Clallam & Jefferson Counties,31858.0,45447.0,2681.0,2016
    At or above the poverty level,Clark County,196011.0,247573.0,8220.0,2016
    At or above the poverty level,"Cowlitz, Pacific & Wahkiakum Counties",41532.0,59844.0,3591.0,2016
    At or above the poverty level,Grant & Kittitas Counties,46196.0,61595.0,3634.0,2016
    At or above the poverty level,Grays Harbor & Mason Counties,43184.0,62315.0,3614.0,2016
    At or above the poverty level,King County,665419.0,823231.0,27055.0,2016
    At or above the poverty level,Kitsap County,97082.0,138408.0,5608.0,2016
    At or above the poverty level,Label,,,,2016
    At or above the poverty level,"Lewis, Klickitat & Skamania Counties",35022.0,50032.0,1651.0,2016
    At or above the poverty level,Pierce County,343479.0,452531.0,19124.0,2016
    At or above the poverty level,"Skagit, Island & San Juan Counties",79261.0,106965.0,4065.0,2016
    At or above the poverty level,Snohomish County,356242.0,449089.0,15064.0,2016
    At or above the poverty level,Spokane County,196063.0,251072.0,7705.0,2016
    At or above the poverty level,"Stevens, Okanogan, Pend Oreille & Ferry Counties",31036.0,46530.0,1954.0,2016
    At or above the poverty level,Thurston County,106039.0,145380.0,6685.0,2016
    At or above the poverty level,Whatcom County--Bellingham City,85456.0,106954.0,3957.0,2016
    At or above the poverty level,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",37334.0,46378.0,1577.0,2016
    At or above the poverty level,Yakima County,88293.0,112047.0,5323.0,2016
    Below poverty level,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",8316.0,19717.0,5027.0,2016
    Below poverty level,Chelan & Douglas Counties,1873.0,5608.0,1122.0,2016
